Carimbo de data/hora,Idade,Sexo,Cor ou raça/etnia,Área de formação (graduação),Estado de origem,Relação com o RCGI,Você conhece a Agenda 2030 da ONU e os ODS?,Como você avalia seu grau de conhecimento sobre a Agenda 2030 e os ODS?,Essa avaliação se refere a qual projeto do RCGI? ,Erradicação da pobreza,Fome zero,Saude e bem estar,Educacao de qualidade,Igualdade de genero,Agua potavel e saneamento,Energia limpa e acessivel,Trabalho decente e crescimento economico,"Industria, inovacao e infraestrutura",Reducao da desigualdade,Cidades e comunidades sustentaveis,Consumo e producao responsaveis,Acao contra mudanca global do clima,Vida na agua,Vida terrestre,"Paz, justilca e instituicoes eficazes",Parcerias e meios de implementacao,Quais atitudes poderiam fazer seu projeto relevante em mais ODS? (opcional),Você participa de outro projeto do RCGI?,
2020/05/18 4:28:17 PM GMT-3,40 - 44,Feminino,Branca,Engenharia,São Paulo (SP),Pós-doutorando,Não,,Projeto 13,3,3,5,5,5,1,5,5,5,1,3,5,5,1,4,3,5,,não,Não participo.
2020/05/18 4:30:15 PM GMT-3,18 - 24,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Não,,Projeto 39,1,1,1,1,1,1,5,4,4,1,3,5,5,1,1,1,1,,não,Não participo.
2020/05/18 4:38:57 PM GMT-3,25 - 29,Feminino,Branca,Engenharia,São Paulo (SP),Aluno de mestrado,Sim,5,Projeto 36,1,1,5,2,3,1,5,4,5,1,5,3,5,1,3,3,2,,não,Não participo.
2020/05/18 4:39:04 PM GMT-3,65+,Masculino,Branca,Geologia,São Paulo (SP),Coordenador de projeto,Sim,3,Projeto 36,1,1,5,3,1,3,5,1,4,1,3,2,5,2,5,1,3,tornar-se mais interdisciplinar,não,Não participo.
2020/05/18 4:49:54 PM GMT-3,25 - 29,Masculino,Branca,Química,Espírito Santo (ES),Aluno de doutorado,Não,,Projeto 30,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,,não,Não participo.
2020/05/18 4:50:16 PM GMT-3,30 - 34,Feminino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Não,,Projeto 17,2,3,5,3,3,2,5,4,5,2,4,5,5,3,5,1,2,Avaliação econômica e social da produção de microalgas e bioprodutos derivados,não,Não participo.
2020/05/18 5:06:53 PM GMT-3,25 - 29,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,3,Projeto 31,3,2,4,2,1,4,5,1,5,2,4,4,5,4,4,1,3,,não,Não participo.
2020/05/18 5:38:04 PM GMT-3,65+,Masculino,Branca,Engenharia,São Paulo (SP),Aluno de doutorado,Sim,4,Projeto 39,1,1,5,2,1,1,5,1,1,1,5,5,5,1,1,3,5,,não,Não participo.
2020/05/18 5:51:49 PM GMT-3,45 - 49,Feminino,Branca,Química,São Paulo (SP),Aluno de doutorado,Sim,3,Projeto 9,1,1,4,4,4,2,4,3,5,1,3,4,5,4,5,5,3,,não,Não participo.
2020/05/18 6:17:48 PM GMT-3,35 - 39,Feminino,Branca,Engenharia,Estrangeiro,Aluno de mestrado,Não,,Projeto 31,2,1,5,5,3,1,5,2,3,2,2,4,5,2,4,2,5,,não,Não participo.
